[00:00:00] 欢迎收听古爱,我是圣木工
[00:03:34] 我想说10毫克应该就1cc吧
[00:03:36] 那所以我就把它抽到1
[00:03:38] 然后就打
[00:03:38] 然后打的时候还遇到一些障碍
[00:03:40] 想说奇怪
[00:03:41] 这个针也他妈太粗了
[00:03:42] 他已经是抵着我的肉
[00:03:43] 那个肉都已经被戳进去了
[00:03:45] 然后还是没有办法进去
[00:03:46] 我想说这杀小
[00:03:47] 于是我就妈妈牙一咬
[00:03:49] 想说你有多硬
[00:03:50] 我就直接把它插进去打完
[00:03:52] 打完快乐的跑到床上躺平
[00:03:54] 躺大概三分钟
[00:03:55] 突然间
[00:03:57] 也不是说身体不舒服
[00:03:58] 就是一个直觉
[00:03:59] 我刚才可能做错事情了
[00:04:01] 就突然这样子
[00:04:01] 我那时候一开始
[00:04:02] Ossian P打错的时候
[00:04:03] 我会说有这个直觉
[00:04:04] 那时候我就立刻跳起来
[00:04:05] 然后就边向把盒子拿开来看
[00:04:07] 然后就发现
[00:04:08] 盒子里面是直接就告诉你说
[00:04:10] 反正总之
[00:04:12] 你要打10奥克的话是0.6cc
[00:04:14] 那我刚才打了1cc
[00:04:16] 我到底他妈打了多少
[00:04:17] 我是不是又一次
[00:04:18] 我就OD了
[00:04:18] 所以我就很紧张
[00:04:19] 就立刻密楼下的医美院长
[00:04:22] 就说
[00:04:22] 我是不是又做错事情了
[00:04:24] 就把流程跟他讲
[00:04:25] 他就说
[00:04:26] 你打的量
[00:04:26] 其实也没有到很多
[00:04:28] 就是16.6毫克
[00:04:30] 这样算起来
[00:04:30] 如果说你明天有不舒服的话
[00:04:32] 我再去诊所
[00:04:34] 去拿那个止吐药给你
[00:04:35] 或者说假设你要掉点滴的话
[00:04:36] 你再跟我讲
[00:04:37] 然后我就很紧张
[00:04:38] 傻小干
[00:04:39] 会不会出大事啊
[00:04:40] 我现在不要去急诊之类的
[00:04:42] 然后他就开始在那边
[00:04:43] 哈哈哈哈
[00:04:43] 就是我不知道
[00:04:44] 我后来觉得有些医生反社会吧
[00:04:46] 就是他可以看到一堆血
[00:04:47] 或是一些什么抽脂出来的脂肪
[00:04:49] 还是什么的
[00:04:49] 那个你如果是一般人
[00:04:51] 你应该是没有办法办到
[00:04:52] 所以我觉得可能有蛮多医师
[00:04:54] 他是隐藏杀人犯之类的
[00:04:55] 就不是说他真的会杀人
[00:04:56] 我意思是说
[00:04:56] 他们可能跟那些
[00:04:57] 反正可以看到血跟肉的那些人
[00:05:00] 那某个程度上是有一些
[00:05:02] 是共同的地方
[00:05:02] 他给我在那边哈哈
[00:05:03] 我完全笑不出来
[00:05:05] 那我就说
[00:05:05] 我现在该怎么办
[00:05:06] 他说
[00:05:06] 其实也还好啦
[00:05:07] 就是可能最多就是
[00:05:09] 你接下来的几天
[00:05:09] 你会反胃啊
[00:05:11] 会吃不下东西啊
[00:05:12] 或什么的
[00:05:13] 那真的不舒服的话
[00:05:14] 我再帮你看怎么样处理
[00:05:15] 结果
[00:05:15] 我摩斯坦堡直接全部吃完啊
[00:05:17] 所以我看起来这个瘦肉针
[00:05:19] 好像真的是为我设计的药
[00:05:20] 因为我打下去
[00:05:21] 我真的是没有什么
[00:05:22] 太多体感上的感受
[00:05:23] 那可是这边也算是要呼吁大家啦
[00:05:25] 因为像我自己就是
[00:05:26] 从小不看说明书
[00:05:27] 甚至我会觉得说
[00:05:28] 不看说明书是一个很酷的事情
[00:05:29] 那经历过这些事情之后呢
[00:05:31] 我觉得是因为刚好我的身体
[00:05:32] 是对这个药很适应
[00:05:34] 不然其实可能我第一次
[00:05:35] 一次职上最高剂量
[00:05:37] 搞不好就爆炸了
[00:05:38] 因为像有些朋友
[00:05:39] 他们打那种超低剂量
[00:05:40] 什么酒喝一口就跑去吐
[00:05:42] 闻到有油的味道就跑去吐
[00:05:44] 那你想他如果直接打到最高剂量
[00:05:45] 应该会是直接往生了吧
[00:05:47] 什么急性一让眼之类的
[00:05:48] 所以就自己可能刚好
[00:05:50] 身体是相对幸运是适应的
[00:05:52] 所以呢
[00:05:52] 这样子去雷他也不会有状况
[00:05:55] 但我觉得老天给我两次机会
[00:05:56] 一次机会就是
[00:05:57] 前面我身体职上最高剂量
[00:05:59] 第二次就是
[00:05:59] 自己去抽出来打的时候
[00:06:01] 然后意外的
[00:06:03] 达到一个屌高的剂量
[00:06:05] 就是你四周买不到这么高的剂量
[00:06:06] 然后外加针还没有先换细的
[00:06:08] 用最粗的那种抽鞋的针
[00:06:10] 直接插自己
[00:06:11] 对自己够狠
[00:06:12] 那这其实不是一个太好的事情
[00:06:15] 在那边也算是要呼吁一下大家
[00:06:17] 因为也算是对自己的提醒
[00:06:18] 就是
[00:06:19] 我觉得说明书是要看的
[00:06:21] 因为最后面发现说
[00:06:21] 你看说明书你不会少一块肉
[00:06:23] 你只是稍微的花一点时间
[00:06:24] 你可以避免一些不必要的麻烦
[00:06:26] 不要硬推
[00:06:27] 不要硬干
[00:06:28] 因为如果说真的有照理日
[00:06:30] 你刚好不是达到这种
[00:06:31] 对身体是友善的药
[00:06:32] 是那种你可能抗耀性会蛮明显的
[00:06:35] 那就会出问题
[00:06:36] 这边也算是给自己的一个提醒
[00:06:38] 也提醒大家好好的去读说明书
[00:06:40] 大概这样
[00:06:41] 那再来就是我们上集有聊到
[00:06:42] 关于玻璃心的一些讨论
[00:06:44] 那就有蛮多听众来喊
[00:06:46] 那我这边再稍微的去做一下补充
[00:06:48] 就我觉得这个对大家应该会有一点帮助
[00:06:50] 那上集我只有提到说
[00:06:52] 你要学会去mute掉一些人
[00:06:53] 这个mute不只是说
[00:06:55] 你可能在line上面去封锁它
[00:06:57] 封锁的时候可能太严重
[00:06:58] 就是说把他那个声音关掉
[00:06:59] 不要让他跳通知出来
[00:07:01] 那再来就是有些
[00:07:02] 你觉得不该见到的朋友
[00:07:04] 或甚至是家人
[00:07:05] 你知道说你每次见到他
[00:07:06] 他一定不会给你正向的回馈
[00:07:08] 他一定是
[00:07:09] 就算他是爱你的
[00:07:10] 但是这个爱太沉重了
[00:07:11] 不好意思我就不收了
[00:07:12] 就是你不要每次看到我
[00:07:13] 就是你哪里可以做得更好
[00:07:15] 或傻小的
[00:07:16] 就是这个对我们来讲
[00:07:16] 有时候真的是太多了
[00:07:18] 所以你选择去把这些人的声音给关掉
[00:07:21] 那你把他声音关掉之后
[00:07:23] 你会发现你的生活会过得更好
[00:07:25] 就是说你要让你自己的生活之中
[00:07:27] 可能围绕一些比较正向的人
[00:07:29] 那当然这不是在讲说
[00:07:31] 我们要让自己的身边都是弄成
[00:07:33] 今天你妈长得像一条狗
[00:07:34] 然后他来说你好帅
[00:07:36] 今天那种头发超难看
[00:07:37] 这个就叫做个性
[00:07:39] 这样可能久会久之也不好
[00:07:40] 会膨胀会飘掉
[00:07:41] 那我们意思说
[00:07:42] 就是你这样不要去抓极端
[00:07:44] 就是你稍微的折中一点点
[00:07:46] 你要知道说
[00:07:47] 那些给你很负向的回馈的人
[00:07:50] 这是我们不需要的
[00:07:51] 那些过于奉承的人
[00:07:53] 那可能也是你不需要的
[00:07:54] 那你就调自己可能喜欢的这些人
[00:07:56] 去稍微的聆听他们的声音就好
[00:07:58] 那把自己的注意力
[00:08:00] 视为是一个非常重要的资产
[00:08:01] 你要知道
[00:08:02] Meta Google
[00:08:03] 他们都想要去买这个东西
[00:08:04] 所以呢
[00:08:05] 这个东西值钱的
[00:08:06] 你千万不要把注意力
[00:08:07] 放在一些不值得的人身上
[00:08:09] 这其实非常重要
[00:08:10] 那甚至是到后来
[00:08:12] 我也是非常推崇了
[00:08:13] 觉得说像在YT
[00:08:14] 或在脸书上面
[00:08:15] 有时候看到一些白痴的人
[00:08:16] 我就直接封锁掉
[00:08:17] 以前我会去跟你吵架
[00:08:19] 然后甚至我就故意去逗你
[00:08:20] 就故意去嘴你
[00:08:21] 那我也觉得很好笑
[00:08:22] 可是后来发现说不对
[00:08:23] 这个都是在挥霍自己的注意力
[00:08:25] 因为这些人呢
[00:08:26] 你一辈子基本上是碰不到的
[00:08:28] 那就算是碰得到的
[00:08:29] 刚刚我发现你是白痴
[00:08:30] 帮你过滤掉也刚好
[00:08:31] 所以呢
[00:08:32] 你只要发现这个人是个蠢蛋
[00:08:33] 你就是直接把他封锁掉就好
[00:08:35] 因为你每天都会遇到这样子的人
[00:08:36] 或像是
[00:08:37] 在上集周有一个听众私讯
[00:08:39] 他讲一个很有趣
[00:08:40] 他说
[00:08:40] 马特洪峰不会管谁帮他按了一心
[00:08:43] 他就是那个马特洪峰
[00:08:45] 喜欢他的就很喜欢
[00:08:46] 那还是会有人按他一心
[00:08:48] 那按一心的理由
[00:08:48] 可能是超级白痴的
[00:08:50] 这个山太高
[00:08:50] 这个地方太冷
[00:08:51] 这个地方没有什么酒吧之类的
[00:08:53] 你不可能去在意
[00:08:54] 每一个笨蛋的感受
[00:08:55] 所以你把他们mute掉
[00:08:57] 就还是回到我讲的
[00:08:58] mute掉是非常重要的
[00:08:59] 那我觉得甚至会从一些
[00:09:01] 比较小的事情做起
[00:09:02] 然后像
[00:09:03] 我们小时候都会去接受一些礼貌教育
[00:09:05] 我觉得礼貌教育是好的
[00:09:06] 只是说你可能要让他
[00:09:08] 在某个地方
[00:09:08] 要有一个这个终点
[00:09:10] 我觉得来说
[00:09:10] 像小时候你说
[00:09:12] 我爸会跟我讲说
[00:09:13] 你看到这个阿爸
[00:09:13] 你要叫阿爸
[00:09:14] 要叫叔叔
[00:09:15] 这个都没有问题
[00:09:15] 可是有时候我们会被检讨的事
[00:09:17] 像我今天可能心情不太好
[00:09:18] 那我看阿爸
[00:09:19] 我跟他说阿爸
[00:09:20] 可是我可能脸是比较
[00:09:22] 惆怅忧郁
[00:09:23] 或者说难过的
[00:09:23] 接着我爸就会把我抓到朋友说
[00:09:25] 你干嘛咩
[00:09:26] 可能就开始臭干你一顿之类
[00:09:28] 或是开始威胁说
[00:09:28] 你可能后面
[00:09:29] 哪个东西就不给你吃
[00:09:31] 或者大家就不要去拿
[00:09:32] 那个脸那么臭
[00:09:33] 那什么脸
[00:09:33] 那当然
[00:09:34] 我觉得这个父母
[00:09:35] 他们都是好的
[00:09:36] 他就希望你
[00:09:37] 拥有一个这个礼貌的态度
[00:09:39] 去面对大家
[00:09:40] 这个在我们长大的时候
[00:09:41] 也是有些帮助
[00:09:41] 但在我这一代呢
[00:09:43] 我觉得我就有去做一些修正
[00:09:44] 像我请我的孩子
[00:09:46] 去打招呼的时候
[00:09:47] 那一开始我也没有做好
[00:09:48] 我觉得因为我们身上
[00:09:50] 爸妈带给你的东西
[00:09:51] 那之后还是在我老婆提醒之下
[00:09:53] 我就有去做一些修正
[00:09:54] 像我请我儿子
[00:09:56] 去跟一些叔叔打招呼
[00:09:57] 那有时候他可能不看人家
[00:09:59] 挥个手打招呼
[00:10:00] 这个会被我纠正
[00:10:01] 然后说你要眼睛要看着人家
[00:10:03] 这个是没有问题
[00:10:03] 那可是有时候
[00:10:04] 我会不小心坐过头
[00:10:05] 这个叔叔很久没看到
[00:10:06] 你去给他一个抱抱
[00:10:07] 然后我儿子有时候会去
[00:10:08] 有时候不去
[00:10:09] 不去的时候我就问他说
[00:10:10] 为什么你不要去给人家抱抱
[00:10:11] 然后我老婆就跑去过来
[00:10:12] 说为什么他去给人家抱抱
[00:10:13] 他又不认识他
[00:10:15] 又没有很熟
[00:10:15] 为什么他给他抱抱
[00:10:16] 你想要去抱他
[00:10:17] 你自己去抱他
[00:10:17] 我觉得这个骂得真好
[00:10:19] 所以我就立刻的去懂得说
[00:10:21] 奇怪了
[00:10:21] 为什么我的儿子
[00:10:22] 要去讨好一个不认识的人
[00:10:23] 干他屁事
[00:10:24] 那个是我的朋友
[00:10:25] 那不是他的朋友
[00:10:26] 他要做到的
[00:10:27] 只是要有礼貌就好
[00:10:28] 就是你要打招呼
[00:10:29] 你要正眼看人家
[00:10:30] 这是一定要做到的
[00:10:31] 那可是
[00:10:31] 不会去要求说
[00:10:32] 你的态度要多好
[00:10:33] 或什么的
[00:10:34] 那甚至是你今天
[00:10:35] 可能心情不好
[00:10:36] 像有时候他心情不好
[00:10:36] 他去跟
[00:10:37] 这个楼下的警卫看到
[00:10:39] 然后他只有挥个手
[00:10:40] 他就不看他
[00:10:41] 我还是会跟他讲说
[00:10:42] 你要记得眼镜
[00:10:43] 你还是要看每一个人
[00:10:45] 那只是
[00:10:45] 为什么你刚才不看他
[00:10:46] 你会跟我讲
[00:10:47] 他就跟你讲说
[00:10:48] 我可能是害羞
[00:10:48] 我可能是难过
[00:10:49] 我可能是
[00:10:50] 什么刚才我的皮卡丘
[00:10:51] 什么都会掉到地上
[00:10:52] 我心情不好
[00:10:52] 什么的
[00:10:53] 那我觉得这个是蛮重要的
[00:10:54] 就是让他知道说
[00:10:55] 他没有必要去
[00:10:56] 讨好每一个人
[00:10:57] 因为如果说
[00:10:58] 你真的要让身边的
[00:10:59] 每一个人都
[00:10:59] 非常的好受的话
[00:11:01] 你一定就是
[00:11:02] 最难受的那个人
[00:11:03] 因为总是有些东西
[00:11:04] 需要被释放出来的
[00:11:05] 能量是守恒的
[00:11:07] 那所以在后来
[00:11:09] 对孩子的教育上面
[00:11:09] 我觉得我自己也
[00:11:10] 悟到了一件事情
[00:11:11] 就是当我今天觉得
[00:11:13] 我不想跟人家讲话的时候
[00:11:14] 其实我就是可以
[00:11:15] 不用跟人家讲话的
[00:11:15] 我不用说什么
[00:11:16] 每个人觅我的人
[00:11:17] 我一定要回你
[00:11:18] 因为我现在就是
[00:11:18] 不想跟你讲话
[00:11:19] 或甚至
[00:11:20] 我好不容易决定
[00:11:21] 要跟你讲话
[00:11:21] 结果你又在讲一些
[00:11:22] 很白痴的东西
[00:11:23] 那我就只好
[00:11:23] 再继续不跟你讲话
[00:11:24] 那维持这样子的
[00:11:25] 一个做法呢
[00:11:26] 一开始你会觉得
[00:11:28] 我这样会不会变成
[00:11:28] 是一个拍到顶的人
[00:11:29] 或什么
[00:11:30] 可是最终你就会发现
[00:11:31] 这样子你就对自己
[00:11:32] 有一个完整的交代
[00:11:33] 而且你会过得
[00:11:33] 非常的快乐
[00:11:34] 那这可能也可以
[00:11:35] 再稍微补充给
[00:11:36] 那位听众
[00:11:37] 或是其他
[00:11:37] 又遇到类似问题的人
[00:11:39] 就是呢
[00:11:40] 尽可能最大程度的
[00:11:41] 去降低一些
[00:11:42] 负面的东西
[00:11:43] 对你的影响
[00:11:44] 那不要觉得是
[00:11:45] 不好意思
[00:11:46] 或者说可能会冒犯到别人
[00:11:48] 因为别人在冒犯你的时候
[00:11:49] 他也是完全不担心
[00:11:50] 那你为什么要担心说
[00:11:51] 你可能也会冒犯到他之类的
[00:11:53] 而且我们其实已经是
[00:11:54] 拿很多诚意来面对大家了
[00:11:56] 那有时候呢
[00:11:57] 自己心里面的东西
[00:11:58] 还没有处理好之前
[00:11:59] 我没有办法
[00:12:00] 故弄
[00:12:01] 微笑
[00:12:02] 自作坚强的去跟你
[00:12:04] 好像说我什么事情都没有
[00:12:06] 这个是没有办法做到的
[00:12:07] 所以这个蛮重要的
[00:12:08] 我觉得
[00:12:08] 希望大家都可以
[00:12:10] 在这之中获得一些想法
[00:12:12] 大概这样
[00:12:12] 那接下来我们来进入
[00:12:14] 节目的话题
[00:12:14] 那昨天应该
[00:12:15] 大家都跟你讲
[00:12:16] 蛮忙的
[00:12:16] 就是要去买
[00:12:17] SpaceX的股票
[00:12:19] 那我自己是有去做申购
[00:12:20] 那除了申购之外呢
[00:12:22] 后来
[00:12:22] 等他跑到刺激市场的时候
[00:12:24] 也是有去做交易
[00:12:25] 本来讲说10点
[00:12:25] 那后来是有delay
[00:12:27] 那我去买的时候
[00:12:28] 是160几
[00:12:29] 申购的时候
[00:12:29] 当然就是那个申购价
[00:12:30] 那后面是有再买到160几
[00:12:32] 那我觉得
[00:12:33] 在接下来几天
[00:12:33] 应该都会再持续的
[00:12:35] 去点一点
[00:12:36] 有点像说去
[00:12:37] 支持一个这种
[00:12:39] 太空的梦想吧
[00:12:40] 那我们如果今天
[00:12:40] 是把SpaceX
[00:12:41] 公司拆开来看的话
[00:12:43] 它就是一个
[00:12:44] 卫星公司
[00:12:45] 跟火箭公司
[00:12:46] 然后还有AI公司
[00:12:47] 那其中呢
[00:12:48] 卫星是目前
[00:12:49] 它赚钱的引擎
[00:12:50] 那火箭的话
[00:12:51] 我相信
[00:12:52] 有时候还是
[00:12:52] 也有机会
[00:12:53] 可能带来
[00:12:54] 蛮不错的一个收益
[00:12:55] 之那个梦想
[00:12:56] 可能是放在相对远的
[00:12:57] 一个地方
[00:12:58] 那AI的话呢
[00:12:59] 可能就是要回归到
[00:13:00] 像我们前面
[00:13:02] 跟大家聊到的
[00:13:03] 这个
[00:13:03] 它如果有办法
[00:13:04] 在地国卫星上面
[00:13:05] 去放一些Data Center
[00:13:06] 然后或者是
[00:13:07] 假设说
[00:13:08] 它目前是把它
[00:13:09] AI算力出租出去
[00:13:10] 因为它们算是打掉重链
[00:13:11] 那如果这个东西
[00:13:12] 可以成功的
[00:13:12] 再重新的把它
[00:13:13] 抛起来的话
[00:13:14] 那说不定
[00:13:15] 这边也可以带来一些收益
[00:13:16] 所以简单来讲
[00:13:17] 就是说除了卫星以外的东西呢
[00:13:18] 都算是一种
[00:13:19] 笨梦笔的状态
[00:13:21] 那我觉得像这样的公司
[00:13:22] 你不用太认真的
[00:13:23] 去算它的估值
[00:13:25] 刚刚我在我的脸书上
[00:13:26] 有写这样子一个东西
[00:13:27] 那这个估值的讨论呢
[00:13:29] 在市场上面
[00:13:29] 算是一个大灾问
[00:13:30] 什么叫做便宜的东西
[00:13:32] 什么叫做合理价
[00:13:33] 什么又叫做太贵
[00:13:34] 我觉得是便宜的东西
[00:13:36] 你可能不觉得是便宜
[00:13:37] 我觉得是一个
[00:13:38] 很划算的bargain
[00:13:38] 那你可能觉得说
[00:13:39] 妈你是一个臭盘子
[00:13:41] 据一下说
[00:13:41] 我会去买一些
[00:13:42] 公仔翻在家里
[00:13:43] 那我去买一些游戏团卡
[00:13:44] 我像现在
[00:13:45] 我会去买一些红酒
[00:13:46] 那我买的红酒
[00:13:47] 可能有些是几千块
[00:13:48] 有些上万
[00:13:49] 有些上几十万的
[00:13:50] 甚至搞不好到百万去
[00:13:51] 那在一些人的眼中
[00:13:52] 他觉得说
[00:13:52] 你是一个白痴
[00:13:53] 因为喝酒是伤身的东西
[00:13:55] 为什么你要去喝酒
[00:13:56] 可在我的角度去看
[00:13:57] 你在做我之前
[00:13:58] 我可能也觉得你是白痴
[00:13:59] 所以其实一样的道理
[00:14:00] 后来你会发现
[00:14:01] 拉到投资市场
[00:14:02] 也是这样子的
[00:14:02] 就是我们当然可以用一个
[00:14:04] 相对universal的语言去看
[00:14:06] 就像说一家公司的EPS
[00:14:07] 跟营收成长率
[00:14:08] 然后去给你一个
[00:14:09] price to sell
[00:14:10] 或是price to earning的ratio
[00:14:11] 那这个东西
[00:14:12] 算是比较universal
[00:14:13] 就大家可以去接受说
[00:14:14] 那可能大概到某个地方
[00:14:16] 它是一个相对便宜的
[00:14:17] 可是你要注意到说
[00:14:18] 就是有两家公司
[00:14:19] 它可能就算
[00:14:20] 有一样的财务数字
[00:14:21] 跟一样的成长性
[00:14:23] 就基本上就是identical
[00:14:24] 在财务上面是一样的公司
[00:14:26] 可是因为一个是在做
[00:14:28] 随便举例仿制
[00:14:29] 然后一个是在做
[00:14:30] 卫星相关的
[00:14:31] 那你就注意到说
[00:14:32] 他们的p成数
[00:14:33] 可能就有一个
[00:14:34] 非常大的差距
[00:14:35] 为什么
[00:14:35] 因为大家觉得
[00:14:36] 卫星是一个
[00:14:36] 比较有梦想的东西
[00:14:37] 那这时候你当然可以选择
[00:14:39] 去买你的仿制公司
[00:14:40] 便宜价值股
[00:14:42] 那当然有些人
[00:14:43] 就会选择要去买
[00:14:43] 那个成长股
[00:14:44] 相对贵
[00:14:45] 那可能是trade在一个
[00:14:46] 超级高的地方
[00:14:47] 那这时候呢
[00:14:48] 你不要以为说
[00:14:49] 那个便宜的会赢
[00:14:50] 在过去一段时间
[00:14:51] 我们注意到说
[00:14:51] 价值股蛮多时候
[00:14:53] 它是没有办法去跑赢
[00:14:54] 市场中的那些成长股
[00:14:55] 那甚至后来
[00:14:56] 成长股跟价值股的界限
[00:14:58] 我觉得有
[00:14:58] 越来的越模糊了
[00:15:01] 因为以前会有一个印象
[00:15:02] 是好像说
[00:15:03] 成长股本身就是没有价值的
[00:15:04] 但后来给人家发现是说
[00:15:06] 成长股呢
[00:15:07] 他们很多时候
[00:15:07] 只是价值是放在后面
[00:15:09] 等到你发现
[00:15:09] 它是一个价值股的时候
[00:15:10] 它可能已经是
[00:15:11] 过完最标的一个阶段
[00:15:13] 其实拿
[00:15:13] 最近的案例来讲就好
[00:15:15] 就像是记忆体股
[00:15:16] 记忆体股
[00:15:17] 下来大家看
[00:15:17] 都是非常的便宜
[00:15:18] 可是它在起长点的时候
[00:15:19] 你觉得它非常贵
[00:15:20] 那一样的道理就是
[00:15:21] 你现在可能去算一些
[00:15:22] 被动元件
[00:15:22] 像我自己去看春田
[00:15:23] 我也觉得春田很贵啊
[00:15:24] 可是如果说春田
[00:15:25] 后来的EPS狂拉
[00:15:26] 它真的涨价成功
[00:15:27] 那种一系列的
[00:15:29] 什么AI的需求
[00:15:30] 把它推上去的话
[00:15:31] 到时候你看它
[00:15:31] 搞不好就变成一个
[00:15:32] PE搞不好在20倍以下的东西
[00:15:34] 那到时候你就觉得它便宜
[00:15:35] 可是呢
[00:15:36] 你觉得它便宜的时候
[00:15:37] 它其实已经碰到上面去了
[00:15:38] 所以估值是一个
[00:15:39] 蛮艺术的东西啊
[00:15:41] 甚至我觉得
[00:15:42] 估值的重点
[00:15:43] 并不是在估的当下去
[00:15:44] 争一个对错
[00:15:46] 而是你估在别人的前面
[00:15:48] 这才是估值的重点
[00:15:49] 就是说
[00:15:49] 不管你是玩成堂国
[00:15:50] 还是价值国
[00:15:51] 你要做的是
[00:15:52] 你买的地方
[00:15:53] 你知道你买进之后
[00:15:54] 后面还会有
[00:15:55] 源源不绝的人进来买
[00:15:56] 然后你可以出货给他们
[00:15:57] 你可以卖在一个更高的地方
[00:15:59] 那这样就是一个好的估值
[00:16:00] 而不是去比说
[00:16:01] 什么绝对数字或怎么样
